sample	distance_bp	possible_bin_pairs	observed_nonzero_pixels	contact_sum	mean_contact_per_possible_pair	support_cutoff_possible_pairs
rep1	15850000	4570	4155	21175.0	4.63347921225	1000
rep1	15900000	4553	4144	20542.0	4.51175049418	1000
rep1	15950000	4536	4122	20607.0	4.54298941799	1000
rep1	16000000	4519	4122	20339.0	4.50077450763	1000
rep1	16050000	4502	4114	20643.0	4.58529542426	1000
rep1	16100000	4485	4085	20255.0	4.51616499443	1000
rep1	16150000	4468	4064	20250.0	4.53222918532	1000
rep1	16200000	4451	4066	20119.0	4.52010784093	1000
rep1	16250000	4434	4027	20230.0	4.56247180875	1000
rep1	16300000	4417	4031	20005.0	4.52909214399	1000
rep1	16350000	4400	4005	19707.0	4.47886363636	1000
rep1	16400000	4383	4007	19988.0	4.56034679443	1000
rep1	16450000	4366	3972	20040.0	4.59001374256	1000
rep1	16500000	4349	3951	19852.0	4.56472752357	1000
rep1	16550000	4332	3950	19793.0	4.5690212373	1000
rep1	16600000	4315	3939	19727.0	4.57172653534	1000
rep1	16650000	4298	3940	19615.0	4.56375058167	1000
rep1	16700000	4281	3914	19496.0	4.55407615043	1000
rep1	16750000	4264	3881	19450.0	4.56144465291	1000
rep1	16800000	4247	3865	19367.0	4.56016011302	1000
rep1	16850000	4230	3850	19076.0	4.50969267139	1000
rep1	16900000	4213	3873	19068.0	4.5259909803	1000
rep1	16950000	4196	3823	19104.0	4.55290753098	1000
rep1	17000000	4179	3799	19027.0	4.55300311079	1000
rep1	17050000	4162	3768	18852.0	4.52955309947	1000
rep1	17100000	4145	3759	18835.0	4.54402895054	1000
rep1	17150000	4128	3768	18734.0	4.5382751938	1000
rep1	17200000	4111	3739	18806.0	4.57455606908	1000
rep1	17250000	4094	3740	18741.0	4.57767464582	1000
rep1	17300000	4077	3727	18548.0	4.54942359578	1000
rep1	17350000	4060	3687	18317.0	4.51157635468	1000
rep1	17400000	4043	3707	18144.0	4.48775661637	1000
rep1	17450000	4026	3656	18330.0	4.55290611028	1000
rep1	17500000	4009	3658	18053.0	4.50311798453	1000
rep1	17550000	3992	3629	17959.0	4.49874749499	1000
rep1	17600000	3975	3607	17955.0	4.51698113208	1000
rep1	17650000	3958	3584	18093.0	4.5712481051	1000
rep1	17700000	3941	3563	17775.0	4.51027657955	1000
rep1	17750000	3924	3562	17606.0	4.48674821611	1000
rep1	17800000	3907	3557	17513.0	4.48246736627	1000
rep1	17850000	3890	3527	17555.0	4.51285347044	1000
rep1	17900000	3873	3506	17554.0	4.53240382133	1000
rep1	17950000	3856	3509	17316.0	4.49066390041	1000
rep1	18000000	3839	3514	17442.0	4.54337066945	1000
rep1	18050000	3822	3489	17246.0	4.51229722658	1000
rep1	18100000	3805	3450	17076.0	4.48777923784	1000
rep1	18150000	3788	3427	17066.0	4.50527983105	1000
rep1	18200000	3771	3430	17134.0	4.54362238133	1000
rep1	18250000	3754	3399	16944.0	4.51358550879	1000
rep1	18300000	3737	3403	16827.0	4.50280974043	1000
rep1	18350000	3720	3370	16928.0	4.55053763441	1000
rep1	18400000	3703	3359	16603.0	4.48366189576	1000
rep1	18450000	3686	3348	16482.0	4.47151383614	1000
rep1	18500000	3669	3344	16530.0	4.50531479967	1000
rep1	18550000	3652	3279	16204.0	4.43702081051	1000
rep1	18600000	3635	3296	16480.0	4.53370013755	1000
rep1	18650000	3618	3276	16603.0	4.58899944721	1000
rep1	18700000	3601	3235	16096.0	4.4698694807	1000
rep1	18750000	3584	3230	16330.0	4.55636160714	1000
rep1	18800000	3567	3176	15969.0	4.47687132044	1000
rep1	18850000	3550	3203	15976.0	4.50028169014	1000
rep1	18900000	3533	3197	16134.0	4.56665723181	1000
rep1	18950000	3516	3178	15925.0	4.52929465301	1000
rep1	19000000	3499	3150	15833.0	4.5250071449	1000
rep1	19050000	3482	3122	15682.0	4.5037334865	1000
rep1	19100000	3465	3105	15515.0	4.47763347763	1000
rep1	19150000	3448	3084	15317.0	4.44228538283	1000
rep1	19200000	3431	3082	15407.0	4.49052754299	1000
rep1	19250000	3414	3074	15283.0	4.47656707674	1000
rep1	19300000	3397	3063	15348.0	4.5181042096	1000
rep1	19350000	3380	3023	15354.0	4.5426035503	1000
rep1	19400000	3363	3015	15159.0	4.50758251561	1000
rep1	19450000	3346	3041	15034.0	4.49312612074	1000
rep1	19500000	3329	2986	15234.0	4.57614899369	1000
rep1	19550000	3312	2975	14885.0	4.49426328502	1000
rep1	19600000	3295	2975	15113.0	4.58664643399	1000
rep1	19650000	3278	2939	14918.0	4.5509456986	1000
rep1	19700000	3261	2915	14822.0	4.54523152407	1000
rep1	19750000	3244	2911	14745.0	4.54531442663	1000
rep1	19800000	3227	2924	14859.0	4.60458630307	1000
rep1	19850000	3210	2874	14557.0	4.53489096573	1000
rep1	19900000	3193	2844	14691.0	4.6010021923	1000
rep1	19950000	3176	2828	14740.0	4.64105793451	1000
rep1	20000000	3159	2828	14372.0	4.54954099399	1000
rep1	20050000	3142	2818	14342.0	4.5646085296	1000
rep1	20100000	3125	2809	14351.0	4.59232	1000
rep1	20150000	3108	2793	14185.0	4.56402831403	1000
rep1	20200000	3091	2761	13913.0	4.50113231964	1000
rep1	20250000	3074	2739	13893.0	4.51951854262	1000
rep1	20300000	3057	2740	13838.0	4.5266601243	1000
rep1	20350000	3040	2714	13864.0	4.56052631579	1000
rep1	20400000	3023	2696	13818.0	4.57095600397	1000
rep1	20450000	3006	2674	13707.0	4.55988023952	1000
rep1	20500000	2989	2660	13826.0	4.6256273001	1000
rep1	20550000	2972	2647	13688.0	4.60565275908	1000
rep1	20600000	2955	2636	13488.0	4.56446700508	1000
rep1	20650000	2938	2649	13317.0	4.53267528931	1000
rep1	20700000	2921	2613	13363.0	4.57480314961	1000
rep1	20750000	2904	2597	13342.0	4.59435261708	1000
rep1	20800000	2887	2614	13495.0	4.67440249394	1000
rep1	20850000	2870	2573	13215.0	4.60452961672	1000
rep1	20900000	2853	2554	13272.0	4.65194532072	1000
rep1	20950000	2836	2542	13207.0	4.65691114245	1000
rep1	21000000	2819	2514	13087.0	4.64242639234	1000
rep1	21050000	2802	2500	12803.0	4.56923625981	1000
rep1	21100000	2785	2505	12797.0	4.59497307002	1000
rep1	21150000	2768	2494	12963.0	4.68316473988	1000
rep1	21200000	2751	2462	12623.0	4.5885132679	1000
rep1	21250000	2734	2458	12518.0	4.57863935625	1000
rep1	21300000	2717	2421	12594.0	4.63525947736	1000
rep1	21350000	2700	2433	12535.0	4.64259259259	1000
rep1	21400000	2683	2396	12460.0	4.64405516213	1000
rep1	21450000	2666	2395	12293.0	4.61102775694	1000
rep1	21500000	2649	2360	12189.0	4.6013590034	1000
rep1	21550000	2632	2387	12075.0	4.58776595745	1000
rep1	21600000	2615	2362	12247.0	4.68336520076	1000
rep1	21650000	2598	2320	11964.0	4.60508083141	1000
rep1	21700000	2581	2338	11963.0	4.63502518404	1000
rep1	21750000	2564	2302	11753.0	4.58385335413	1000
rep1	21800000	2547	2289	11772.0	4.62190812721	1000
