duplication_type	gene	age	mean_ATAC_TSS_2kb
TD	Pbre1_08G036000	young	0.3605853632632643
TD	Pbre1_10G410000	young	0.45368532698601494
PD	Pbre1_02G020800	young	0.0
TRD	Pbre1_12G143400	young	0.558759268630296
PD	Pbre1_17G083800	young	0.7187895096056163
TRD	Pbre1_03G089800	young	1.0441160460188985
TRD	Pbre1_01G004000	young	0.0
TD	Pbre1_16G459600	young	0.22827797615900636
PD	Pbre1_06G281800	young	0.30292722951993345
TRD	Pbre1_15G784200	young	0.8958570264596493
TRD	Pbre1_12G265600	young	0.9621567953173071
TRD	Pbre1_12G317600	young	0.007823222540318966
TD	Pbre1_12G014000	young	0.9624348307400942
PD	Pbre1_15G758800	young	0.5945542757585646
TRD	Pbre1_16G469200	young	0.4318115449808538
PD	Pbre1_17G462600	young	0.16070392927527427
TRD	Pbre1_02G145400	young	0.9435407332722099
TD	Pbre1_15G490000	young	0.651201847806573
PD	Pbre1_02G061000	young	0.6548718132730573
TRD	Pbre1_10G164800	young	0.27094478995259846
TRD	Pbre1_09G390600	young	0.6993682213053107
TRD	Pbre1_03G295000	young	0.0053672524541616435
TD	Pbre1_05G553800	young	1.335428258381784
TRD	Pbre1_06G130600	young	0.010734503697603941
TRD	Pbre1_14G116600	young	0.7536995248943568
TD	Pbre1_04G078200	young	0.746056896591559
PD	Pbre1_08G043400	young	0.3338615448176861
TD	Pbre1_13G471200	young	0.2100727768754586
PD	Pbre1_05G249400	young	0.5122411420196296
TD	Pbre1_16G046200	young	0.8740771612077951
TD	Pbre1_15G720200	young	0.41002186663262546
TD	Pbre1_08G112400	young	0.7136954271271824
TRD	Pbre1_07G434200	young	0.6308055925518274
TD	Pbre1_11G345800	young	0.1835746732763946
TD	Pbre1_05G396000	young	1.0638340360671283
TRD	Pbre1_13G256800	young	1.0515767634622752
TD	Pbre1_10G118600	young	1.29118918992579
TD	Pbre1_15G215400	young	0.8969026831090451
TD	Pbre1_09G210600	young	0.2700219018086791
TD	Pbre1_11G359400	young	0.6616197631731631
TD	Pbre1_09G341800	young	0.8699987057968974
PD	Pbre1_10G512800	young	0.6104458295349032
PD	Pbre1_07G065600	young	0.3369325941484421
TRD	Pbre1_10G055600	young	0.3670024782642722
TD	Pbre1_04G301400	young	0.8714423416666687
PD	Pbre1_17G211200	young	0.41726268778741354
PD	Pbre1_15G745400	young	0.39241415773145855
TD	Pbre1_03G064600	young	0.7163335210122168
PD	Pbre1_09G377000	young	0.6180968016162515
PD	Pbre1_02G422200	young	0.09005785587057472
PD	Pbre1_13G454200	young	0.3319456946989522
TRD	Pbre1_14G058000	young	0.08388119435869158
PD	Pbre1_17G487800	young	0.9948098355084657
PD	Pbre1_07G042600	young	0.6099783612564206
TRD	Pbre1_10G094000	young	0.6103937106542289
TD	Pbre1_05G433200	young	0.7984321056902408
TRD	Pbre1_05G113000	young	0.5525998013336212
PD	Pbre1_13G464600	young	0.4974146238565444
TD	Pbre1_08G035800	young	0.28113320936635133
TRD	Pbre1_07G226200	young	0.09314278032071888
TD	Pbre1_17G416600	young	0.5567675517965108
TRD	Pbre1_12G065200	young	0.7117472484018654
PD	Pbre1_03G139200	young	0.5823730118144304
TD	Pbre1_05G181200	young	0.08575458706356584
TD	Pbre1_06G169400	young	0.2955227484181523
TRD	Pbre1_05G085200	young	0.12200343457050619
TD	Pbre1_14G377600	young	0.6754369366914034
TD	Pbre1_14G174800	young	0.2411128493305296
TRD	Pbre1_07G057800	young	0.8565822251047939
PD	Pbre1_16G045600	young	0.8146367902681231
TRD	Pbre1_01G135400	young	0.6841253168974072
TD	Pbre1_08G208800	young	0.1566324586812407
PD	Pbre1_05G181800	young	0.031142323318868875
PD	Pbre1_05G288400	young	1.0735023158043624
TRD	Pbre1_09G100400	young	0.8594268310070039
PD	Pbre1_06G346600	young	0.6369512278139592
PD	Pbre1_10G264000	young	0.44233218852058054
PD	Pbre1_05G133200	young	0.10930002952739597
TRD	Pbre1_15G634400	young	0.5331035700887441
TRD	Pbre1_17G196800	young	0.5318380591832101
TRD	Pbre1_02G449000	young	0.35156922373734417
PD	Pbre1_02G468600	young	0.6300404374226929
