duplication_type	metric	young_gene	partner_gene	young_log2_expression	partner_log2_expression
TD	15DAF	Pbre1_04G033400	Pbre1_04G033200	0.0	0.0
TD	15DAF	Pbre1_15G720000	Pbre1_15G719800	0.3805920424325947	3.9612523283204113
TD	15DAF	Pbre1_17G449000	Pbre1_17G448800	2.7352299261343416	0.13458633241114148
TD	15DAF	Pbre1_01G395200	Pbre1_01G395000	4.876185886810459	4.552028283357322
TD	15DAF	Pbre1_12G306000	Pbre1_12G305800	2.665118032461065	4.392651333686122
TD	15DAF	Pbre1_11G034600	Pbre1_11G034400	0.8763861035394858	3.3538903762387293
TD	15DAF	Pbre1_05G444000	Pbre1_05G443800	1.3343989406962005	0.21969205598073235
TD	15DAF	Pbre1_09G059000	Pbre1_09G058800	5.542863421228209	5.2947616666661945
TD	15DAF	Pbre1_11G132200	Pbre1_11G132000	0.4562394713749409	0.0
TD	15DAF	Pbre1_01G253600	Pbre1_01G253400	1.9832938977147094	1.4886152640391435
TD	15DAF	Pbre1_13G058800	Pbre1_13G058600	2.696368019260681	2.678250878364443
TD	15DAF	Pbre1_04G403600	Pbre1_04G403400	0.4690628324080027	0.025086926486587297
TD	15DAF	Pbre1_13G252800	Pbre1_13G252600	0.0	0.0
TD	15DAF	Pbre1_03G017200	Pbre1_03G017000	3.126729909474624	1.1746761395744492
TD	15DAF	Pbre1_08G363600	Pbre1_08G363400	5.537098848010153	4.357546022699415
TD	15DAF	Pbre1_02G079000	Pbre1_02G078800	3.320538110177878	4.241052128774811
TD	15DAF	Pbre1_10G171200	Pbre1_10G171000	2.8111173008201176	3.498600136187261
TD	15DAF	Pbre1_11G096600	Pbre1_11G096400	2.3256201284442843	3.294645743136972
TD	15DAF	Pbre1_01G386600	Pbre1_01G386400	0.0	0.0
TD	15DAF	Pbre1_11G271400	Pbre1_11G271200	4.416266197167703	3.3707179515196595
TD	15DAF	Pbre1_11G047200	Pbre1_11G047000	1.352276604750768	3.6495961463630797
TD	15DAF	Pbre1_12G151400	Pbre1_12G151200	6.328949708761115	5.402471531826758
