duplication_type	gene	age	TPM	log2_TPM_plus_1
TD	Pbre1_15G720000	young	0.301876	0.3805920424325947
TRD	Pbre1_17G125200	young	0.0	0.0
PD	Pbre1_09G281800	young	0.0	0.0
PD	Pbre1_11G162200	young	1.238195	1.1623357348297432
PD	Pbre1_04G294600	young	0.074319	0.1034224396773596
TD	Pbre1_10G506400	young	3.177801	2.062743774561408
PD	Pbre1_07G241200	young	0.643293	0.7165897365022691
TRD	Pbre1_01G115000	young	0.492995	0.5782093339337515
PD	Pbre1_02G253400	young	28.486404	4.8819779848455065
TD	Pbre1_05G181000	young	0.0	0.0
PD	Pbre1_14G173400	young	0.0	0.0
TD	Pbre1_11G254800	young	0.0	0.0
TRD	Pbre1_17G019000	young	12.516189	3.756616524181525
PD	Pbre1_15G246000	young	0.033259	0.04720193007956596
TRD	Pbre1_16G498800	young	0.0	0.0
TRD	Pbre1_06G166600	young	0.262114	0.3358422271245153
TRD	Pbre1_01G115200	young	0.927975	0.9470863443013479
PD	Pbre1_01G233000	young	7.342424	3.0604666384261696
TRD	Pbre1_17G018800	young	3.947813	2.3067909754414546
TD	Pbre1_12G370400	young	11.365391	3.628235954092967
TRD	Pbre1_02G036200	young	0.0	0.0
TD	Pbre1_07G210400	young	5.923336	2.7914673660328355
TD	Pbre1_03G071800	young	3.568195	2.1916242355362403
PD	Pbre1_13G444400	young	0.0	0.0
PD	Pbre1_02G340000	young	0.0	0.0
PD	Pbre1_11G517200	young	1.88884	1.530490301653037
TRD	Pbre1_02G484800	young	0.0	0.0
PD	Pbre1_08G036800	young	5.178868	2.6273425532791514
TD	Pbre1_17G265600	young	0.0	0.0
TRD	Pbre1_15G734800	young	0.0	0.0
PD	Pbre1_03G376800	young	0.0	0.0
TD	Pbre1_05G246000	young	0.0	0.0
TD	Pbre1_09G236200	young	46.841772	5.580198921051053
TD	Pbre1_15G720600	young	20.092873	4.398683708774761
TRD	Pbre1_03G450600	young	3.68911	2.2293141230751727
PD	Pbre1_15G298600	young	7.982588	3.167131163992172
PD	Pbre1_14G082800	young	43.61594	5.479487330827918
TD	Pbre1_04G017600	young	5.413136	2.681030001974572
TRD	Pbre1_11G456400	young	10.37679	3.508021648634386
TRD	Pbre1_10G499000	young	0.539816	0.6227579666687543
TRD	Pbre1_17G265000	young	1.836861	1.5042954634344494
TD	Pbre1_05G010800	young	5.805532	2.76670794406021
TRD	Pbre1_03G209400	young	4.651136	2.4985409094443143
TD	Pbre1_10G080400	young	1.152004	1.10568075948134
PD	Pbre1_02G452400	young	38.349254	5.298264379649287
PD	Pbre1_06G380800	young	0.078456	0.10896731708555758
TRD	Pbre1_02G012400	young	0.601294	0.6792382131646836
TD	Pbre1_03G471200	young	30.651265	4.98419125560753
TRD	Pbre1_17G264800	young	3.730902	2.2421152759249603
TD	Pbre1_04G060000	young	0.109756	0.1502425087502737
TD	Pbre1_06G014200	young	0.0	0.0
TD	Pbre1_01G201400	young	0.163451	0.2184104513572547
TD	Pbre1_07G056400	young	0.0	0.0
PD	Pbre1_16G513600	young	1.203183	1.1395893326363877
TD	Pbre1_03G046400	young	51.203686	5.706079771149524
TRD	Pbre1_06G052600	young	0.0	0.0
TD	Pbre1_16G149600	young	4.658328	2.5003758088051953
TRD	Pbre1_07G094800	young	0.0	0.0
TD	Pbre1_06G047600	young	0.0	0.0
PD	Pbre1_03G037200	young	9.652934	3.4131789229248115
TD	Pbre1_03G064800	young	0.196232	0.2584972162840387
TD	Pbre1_03G413400	young	0.0	0.0
PD	Pbre1_05G231200	young	2.336877	1.7384985085878104
TD	Pbre1_06G095600	young	0.0	0.0
PD	Pbre1_17G416200	young	52.250868	5.734733136640663
PD	Pbre1_05G134400	young	0.090763	0.1253376682354004
TRD	Pbre1_06G080400	young	0.0	0.0
PD	Pbre1_02G420400	young	0.015036	0.021530895982316778
TRD	Pbre1_17G455000	young	0.0	0.0
PD	Pbre1_16G410600	young	0.023358	0.03331092951480965
PD	Pbre1_11G295400	young	1.437083	1.2851553859194027
TD	Pbre1_05G010600	young	0.891283	0.9193652554868217
TD	Pbre1_09G210400	young	0.241322	0.3118774003561865
PD	Pbre1_03G121600	young	65.49929	6.05526703220875
TRD	Pbre1_07G129600	young	0.035654	0.05054209582491629
PD	Pbre1_12G276000	young	0.017701	0.02531376064883206
TD	Pbre1_09G267800	young	53.817876	5.776574524772481
PD	Pbre1_14G279200	young	0.0	0.0
TD	Pbre1_08G036000	young	1.539601	1.3446018511162003
TD	Pbre1_10G410000	young	0.0	0.0
PD	Pbre1_02G020800	young	0.0	0.0
TRD	Pbre1_12G143400	young	0.0	0.0
PD	Pbre1_17G083800	young	0.172786	0.22993978667855913
TRD	Pbre1_03G089800	young	0.0	0.0
TRD	Pbre1_01G004000	young	0.228728	0.2971655857825078
TD	Pbre1_16G459600	young	1.650796	1.4064256475296533
PD	Pbre1_06G281800	young	0.074377	0.10350032534605515
TRD	Pbre1_15G784200	young	0.866534	0.9003617884077311
TRD	Pbre1_12G265600	young	0.368178	0.452255937103729
TRD	Pbre1_12G317600	young	1.393104	1.2588830951730958
TD	Pbre1_12G014000	young	0.0	0.0
PD	Pbre1_15G758800	young	1.954377	1.5628539362335057
TRD	Pbre1_16G469200	young	0.0	0.0
PD	Pbre1_17G462600	young	0.0	0.0
TRD	Pbre1_02G145400	young	0.635182	0.7094512203622023
TD	Pbre1_15G490000	young	0.0	0.0
PD	Pbre1_02G061000	young	0.407229	0.4928571191086154
TRD	Pbre1_10G164800	young	0.0	0.0
TRD	Pbre1_09G390600	young	0.0	0.0
TRD	Pbre1_03G295000	young	2.026552	1.597675138590702
TD	Pbre1_05G553800	young	1.403356	1.2650503652359486
TRD	Pbre1_06G130600	young	0.0	0.0
TRD	Pbre1_14G116600	young	12.738101	3.7801106909483977
TD	Pbre1_04G078200	young	36.178733	5.216405700923064
PD	Pbre1_08G043400	young	0.0	0.0
TD	Pbre1_13G471200	young	0.099264	0.13653790653459916
PD	Pbre1_05G249400	young	6.753895	2.954921198849095
TD	Pbre1_16G046200	young	127.305158	7.003435359200314
TD	Pbre1_15G720200	young	5.567424	2.7153276001997866
TD	Pbre1_08G112400	young	26.25794	4.768604630468379
TRD	Pbre1_07G434200	young	0.0	0.0
TD	Pbre1_11G345800	young	1.93899	1.5553204501852465
TD	Pbre1_05G396000	young	10.150058	3.47897930961543
TRD	Pbre1_13G256800	young	0.57232	0.6528948660894707
TD	Pbre1_10G118600	young	516.14873	9.014435443574943
TD	Pbre1_15G215400	young	1.197607	1.1359334109255705
TD	Pbre1_09G210600	young	0.199711	0.26268691493273727
TD	Pbre1_11G359400	young	1.066729	1.0473492276661327
TD	Pbre1_09G341800	young	3.930966	2.3018703052015344
PD	Pbre1_10G512800	young	7.256303	3.045495917536361
PD	Pbre1_07G065600	young	0.495649	0.5807716422213933
TRD	Pbre1_10G055600	young	8.26071	3.2111228062513866
TD	Pbre1_04G301400	young	10.874623	3.5698098058329073
PD	Pbre1_17G211200	young	0.339424	0.42161272382029447
PD	Pbre1_15G745400	young	0.0	0.0
TD	Pbre1_03G064600	young	1.800543	1.485706579833388
PD	Pbre1_09G377000	young	0.0	0.0
PD	Pbre1_02G422200	young	11.500441	3.6439070871579426
PD	Pbre1_13G454200	young	0.0	0.0
TRD	Pbre1_14G058000	young	0.0	0.0
PD	Pbre1_17G487800	young	0.0	0.0
PD	Pbre1_07G042600	young	0.0	0.0
TRD	Pbre1_10G094000	young	3.241166	2.0844609513828116
TD	Pbre1_05G433200	young	0.241307	0.3118599668809361
TRD	Pbre1_05G113000	young	0.0	0.0
PD	Pbre1_13G464600	young	0.0	0.0
TD	Pbre1_08G035800	young	0.146784	0.19759368126268045
TRD	Pbre1_07G226200	young	0.0	0.0
TD	Pbre1_17G416600	young	6.008381	2.8090812069980773
TRD	Pbre1_12G065200	young	0.232113	0.3011345750780324
PD	Pbre1_03G139200	young	0.982867	0.9875879126270843
TD	Pbre1_05G181200	young	0.0	0.0
TD	Pbre1_06G169400	young	5.63335	2.7297376497924883
TRD	Pbre1_05G085200	young	0.0	0.0
TD	Pbre1_14G377600	young	0.0	0.0
