duplication_type	trajectory	role	log2_TPM_plus_1
TRD	Neo(C)	P	4.316335373251975
TRD	Neo(C)	P	8.336437222495631
TRD	Neo(C)	P	5.024282433622348
TRD	Neo(C)	P	4.114693662885926
TRD	Neo(C)	P	3.897363178531083
TRD	Neo(C)	P	6.543406805186524
TRD	Neo(C)	P	1.9777664800377066
TRD	Neo(C)	P	4.811803519377183
TRD	Neo(C)	P	1.9498719271375646
TRD	Neo(C)	P	4.476573612867168
TRD	Neo(C)	P	8.075874270806773
TRD	Neo(C)	P	4.591557471980653
TRD	Neo(C)	P	2.3536662316180847
TRD	Neo(C)	P	3.6118914035985066
TRD	Neo(C)	P	4.732687129725199
TRD	Neo(C)	P	3.837796089581252
TRD	Neo(C)	P	3.837796089581252
TRD	Neo(C)	P	6.748484233376395
TRD	Neo(C)	P	3.8234122505800947
TRD	Neo(C)	P	5.199616729669863
TRD	Neo(C)	P	5.199616729669863
TRD	Neo(C)	P	2.995292026096072
TRD	Neo(C)	P	4.855157666024691
TRD	Neo(C)	P	3.2602762234021614
TRD	Neo(C)	P	4.947923000033551
TRD	Neo(C)	P	0.5491000296574572
TRD	Neo(C)	P	3.137594618322156
TRD	Neo(C)	P	3.3698149358260165
TRD	Neo(C)	P	3.679369915622077
TRD	Neo(C)	P	3.507505459196735
TRD	Neo(C)	P	8.165421499178233
TRD	Neo(C)	P	7.914458094300667
TRD	Neo(C)	P	3.7646138681124945
TRD	Neo(C)	P	2.795518201337566
TRD	Neo(C)	P	2.795518201337566
TRD	Neo(C)	P	2.795518201337566
TRD	Neo(C)	P	5.159269422438983
TRD	Neo(C)	P	2.750333553127091
TRD	Neo(C)	P	2.6846505255104507
TRD	Neo(C)	P	4.418710632244838
TRD	Neo(C)	P	3.1549202381218553
TRD	Neo(C)	P	5.5273370826179375
TRD	Neo(C)	P	2.848213728661551
TRD	Neo(C)	P	3.801317612873199
TRD	Neo(C)	P	7.900304049182221
TRD	Neo(C)	P	5.486684364833363
TRD	Neo(C)	P	2.3519685170343054
TRD	Neo(C)	P	5.743980720498987
TRD	Neo(C)	P	7.455693889521448
TRD	Neo(C)	P	0.2721052281855406
TRD	Neo(C)	P	5.278633256546935
TRD	Neo(C)	P	3.2191357544523718
TRD	Neo(C)	P	4.803096988219812
TRD	Neo(C)	P	4.334217975349558
TRD	Neo(C)	P	1.9498719271375646
TRD	Neo(C)	P	8.16234569304802
TRD	Neo(C)	P	4.216820149015351
TRD	Neo(C)	P	4.168164266952019
TRD	Neo(C)	P	1.9424327424839132
TRD	Neo(C)	P	3.8079239530172564
TRD	Neo(C)	P	4.13729105213351
TRD	Neo(C)	P	3.8808617133059746
TRD	Neo(C)	P	2.668516363450707
TRD	Neo(C)	P	2.7323877366168956
TRD	Neo(C)	P	5.061800213507837
TRD	Neo(C)	P	1.707353388900676
TRD	Neo(C)	P	4.211236227460435
TRD	Neo(C)	P	3.334916727571659
TRD	Neo(C)	P	6.392864967616013
TRD	Neo(C)	P	4.27767168321498
TRD	Neo(C)	P	4.375165664537232
TRD	Neo(C)	P	4.968045211943105
TRD	Neo(C)	P	2.9712768318868683
