sample	distance_bp	possible_bin_pairs	observed_nonzero_pixels	contact_sum	mean_contact_per_possible_pair
merged	14000000	5199	4940	48313.000000	9.2927486055
merged	14050000	5182	4929	47656.000000	9.19644924739
merged	14100000	5165	4894	48004.000000	9.29409486931
merged	14150000	5148	4879	47647.000000	9.25543900544
merged	14200000	5131	4870	46974.000000	9.1549405574
merged	14250000	5114	4853	47083.000000	9.20668752444
merged	14300000	5097	4819	46781.000000	9.17814400628
merged	14350000	5080	4820	46478.000000	9.14921259843
merged	14400000	5063	4803	46154.000000	9.1159391665
merged	14450000	5046	4799	46030.000000	9.12207689259
merged	14500000	5029	4768	45837.000000	9.11453569298
merged	14550000	5012	4754	45336.000000	9.04549082203
merged	14600000	4995	4743	44894.000000	8.98778778779
merged	14650000	4978	4705	44924.000000	9.02450783447
merged	14700000	4961	4726	45025.000000	9.07579117113
merged	14750000	4944	4681	44528.000000	9.00647249191
merged	14800000	4927	4667	44729.000000	9.07834381977
merged	14850000	4910	4692	44478.000000	9.05865580448
merged	14900000	4893	4670	43730.000000	8.93725730636
merged	14950000	4876	4636	43647.000000	8.95139458573
merged	15000000	4859	4609	43318.000000	8.91500308705
merged	15050000	4842	4594	43066.000000	8.89425857084
merged	15100000	4825	4596	43046.000000	8.9214507772
merged	15150000	4808	4590	42969.000000	8.93698003328
merged	15200000	4791	4556	42538.000000	8.87873095387
merged	15250000	4774	4551	42326.000000	8.8659405111
merged	15300000	4757	4537	42191.000000	8.86924532268
merged	15350000	4740	4503	42073.000000	8.87616033755
merged	15400000	4723	4504	41819.000000	8.85432987508
merged	15450000	4706	4490	41916.000000	8.90692732682
merged	15500000	4689	4464	41394.000000	8.82789507358
merged	15550000	4672	4452	41118.000000	8.80094178082
merged	15600000	4655	4424	41145.000000	8.83888292159
merged	15650000	4638	4421	40800.000000	8.79689521345
merged	15700000	4621	4398	40477.000000	8.75935944601
merged	15750000	4604	4381	40385.000000	8.77172024327
merged	15800000	4587	4374	40245.000000	8.77370830608
merged	15850000	4570	4348	40870.000000	8.94310722101
merged	15900000	4553	4331	39943.000000	8.77289699099
merged	15950000	4536	4320	39691.000000	8.75022045855
merged	16000000	4519	4299	39464.000000	8.73290551007
merged	16050000	4502	4316	39649.000000	8.80697467792
merged	16100000	4485	4277	39420.000000	8.78929765886
merged	16150000	4468	4249	39128.000000	8.75738585497
merged	16200000	4451	4238	38816.000000	8.72073691305
merged	16250000	4434	4256	39021.000000	8.80040595399
merged	16300000	4417	4227	38839.000000	8.79307222096
merged	16350000	4400	4203	38425.000000	8.73295454545
merged	16400000	4383	4187	39047.000000	8.9087383071
merged	16450000	4366	4164	38778.000000	8.88181401741
merged	16500000	4349	4118	38438.000000	8.83835364452
merged	16550000	4332	4120	38274.000000	8.8351800554
merged	16600000	4315	4126	38196.000000	8.85191193511
merged	16650000	4298	4117	38501.000000	8.95788738948
merged	16700000	4281	4080	38012.000000	8.87923382387
merged	16750000	4264	4052	38009.000000	8.91393058161
merged	16800000	4247	4041	37682.000000	8.87261596421
merged	16850000	4230	4037	37123.000000	8.77612293144
merged	16900000	4213	4041	37142.000000	8.81604557323
merged	16950000	4196	4004	37350.000000	8.90133460439
merged	17000000	4179	3969	37067.000000	8.86982531706
merged	17050000	4162	3955	36895.000000	8.86472849592
merged	17100000	4145	3944	36515.000000	8.80940892642
merged	17150000	4128	3939	36745.000000	8.90140503876
merged	17200000	4111	3931	36651.000000	8.91534906349
merged	17250000	4094	3915	36635.000000	8.94846116268
merged	17300000	4077	3894	35895.000000	8.804267844
merged	17350000	4060	3872	35827.000000	8.82438423645
merged	17400000	4043	3864	35311.000000	8.73386099431
merged	17450000	4026	3819	35516.000000	8.8216592151
merged	17500000	4009	3797	35121.000000	8.76053878773
merged	17550000	3992	3806	35223.000000	8.82339679359
merged	17600000	3975	3777	34998.000000	8.80452830189
merged	17650000	3958	3749	35177.000000	8.88756947954
merged	17700000	3941	3735	34773.000000	8.82339507739
merged	17750000	3924	3733	34296.000000	8.74006116208
merged	17800000	3907	3701	34280.000000	8.77399539288
merged	17850000	3890	3693	34382.000000	8.83856041131
merged	17900000	3873	3663	34278.000000	8.85050348567
merged	17950000	3856	3674	33892.000000	8.78941908714
merged	18000000	3839	3673	33895.000000	8.82912216723
merged	18050000	3822	3637	33714.000000	8.82103610675
merged	18100000	3805	3623	33383.000000	8.77345597898
merged	18150000	3788	3604	33223.000000	8.77059134108
merged	18200000	3771	3577	33070.000000	8.76955714665
merged	18250000	3754	3571	33554.000000	8.93819925413
merged	18300000	3737	3542	32944.000000	8.8156275087
merged	18350000	3720	3529	33085.000000	8.8938172043
merged	18400000	3703	3532	32737.000000	8.84066972725
merged	18450000	3686	3500	32486.000000	8.8133478025
merged	18500000	3669	3504	32607.000000	8.88716271464
merged	18550000	3652	3461	32200.000000	8.81708652793
merged	18600000	3635	3453	32382.000000	8.90839064649
merged	18650000	3618	3448	32580.000000	9.00497512438
merged	18700000	3601	3410	31888.000000	8.85531796723
merged	18750000	3584	3402	32141.000000	8.96791294643
merged	18800000	3567	3364	31760.000000	8.90384076255
merged	18850000	3550	3367	31474.000000	8.86591549296
merged	18900000	3533	3350	31655.000000	8.95980752901
merged	18950000	3516	3331	31357.000000	8.91837315131
merged	19000000	3499	3302	31277.000000	8.93883966848
merged	19050000	3482	3283	30981.000000	8.89747271683
merged	19100000	3465	3293	30722.000000	8.86637806638
merged	19150000	3448	3250	30171.000000	8.7502900232
merged	19200000	3431	3240	30517.000000	8.89449140192
merged	19250000	3414	3241	30255.000000	8.86203866432
merged	19300000	3397	3199	30196.000000	8.88901972329
merged	19350000	3380	3178	30142.000000	8.91775147929
merged	19400000	3363	3167	30054.000000	8.93666369313
merged	19450000	3346	3171	29771.000000	8.89748953975
merged	19500000	3329	3138	29945.000000	8.99519375188
merged	19550000	3312	3121	29398.000000	8.87620772947
merged	19600000	3295	3115	29616.000000	8.98816388467
merged	19650000	3278	3101	29488.000000	8.99572910311
merged	19700000	3261	3074	29547.000000	9.0607175713
merged	19750000	3244	3067	29185.000000	8.99660912454
merged	19800000	3227	3053	29413.000000	9.1146575767
merged	19850000	3210	3028	29220.000000	9.10280373832
merged	19900000	3193	2991	29041.000000	9.09520826809
merged	19950000	3176	2979	29080.000000	9.15617128463
merged	20000000	3159	2971	28677.000000	9.07787274454
merged	20050000	3142	2960	28508.000000	9.0732017823
merged	20100000	3125	2945	28433.000000	9.09856
merged	20150000	3108	2929	28374.000000	9.12934362934
merged	20200000	3091	2906	27764.000000	8.98220640569
merged	20250000	3074	2896	27629.000000	8.98796356539
merged	20300000	3057	2867	27659.000000	9.04775924109
merged	20350000	3040	2851	27567.000000	9.06809210526
merged	20400000	3023	2834	27570.000000	9.12007939133
merged	20450000	3006	2830	27265.000000	9.07019294744
merged	20500000	2989	2804	27420.000000	9.17363666778
merged	20550000	2972	2791	27138.000000	9.13122476447
merged	20600000	2955	2775	26698.000000	9.03485617597
merged	20650000	2938	2771	26627.000000	9.06296800545
merged	20700000	2921	2738	26717.000000	9.14652516262
merged	20750000	2904	2729	26883.000000	9.25723140496
merged	20800000	2887	2719	26720.000000	9.25528229997
merged	20850000	2870	2703	26242.000000	9.14355400697
merged	20900000	2853	2679	26328.000000	9.22818086225
merged	20950000	2836	2685	26275.000000	9.26480959097
merged	21000000	2819	2649	26011.000000	9.22703086201
merged	21050000	2802	2648	25702.000000	9.1727337616
merged	21100000	2785	2620	25718.000000	9.23447037702
merged	21150000	2768	2615	25747.000000	9.30166184971
merged	21200000	2751	2589	25341.000000	9.21155943293
merged	21250000	2734	2586	25294.000000	9.25164594001
merged	21300000	2717	2556	25082.000000	9.23150533677
merged	21350000	2700	2553	24926.000000	9.23185185185
merged	21400000	2683	2516	24701.000000	9.20648527767
merged	21450000	2666	2506	24523.000000	9.19842460615
merged	21500000	2649	2491	24481.000000	9.241600604
merged	21550000	2632	2503	24161.000000	9.1797112462
merged	21600000	2615	2480	24277.000000	9.28374760994
merged	21650000	2598	2458	23808.000000	9.16397228637
merged	21700000	2581	2437	23890.000000	9.25610228594
merged	21750000	2564	2422	23606.000000	9.20670826833
merged	21800000	2547	2407	23460.000000	9.21083627797
merged	21850000	2530	2392	23641.000000	9.3442687747
merged	21900000	2513	2374	23134.000000	9.20573020294
merged	21950000	2496	2354	23113.000000	9.26001602564
merged	22000000	2479	2324	23225.000000	9.36869705526
merged	22050000	2462	2318	23077.000000	9.37327376117
merged	22100000	2445	2294	22900.000000	9.36605316973
merged	22150000	2428	2293	22514.000000	9.2726523888
merged	22200000	2411	2293	22631.000000	9.3865615927
merged	22250000	2394	2258	22170.000000	9.26065162907
merged	22300000	2377	2239	22025.000000	9.26588136306
merged	22350000	2360	2218	22066.000000	9.35
merged	22400000	2343	2193	21722.000000	9.27102005975
merged	22450000	2326	2186	21510.000000	9.24763542562
merged	22500000	2309	2180	21623.000000	9.36466002599
merged	22550000	2292	2142	21333.000000	9.30759162304
merged	22600000	2275	2143	21170.000000	9.30549450549
merged	22650000	2258	2114	21011.000000	9.30513728964
merged	22700000	2241	2115	20778.000000	9.27175368139
merged	22750000	2224	2096	20777.000000	9.34217625899
merged	22800000	2207	2079	20578.000000	9.32396918894
merged	22850000	2190	2059	20556.000000	9.38630136986
merged	22900000	2173	2050	20680.000000	9.51679705476
merged	22950000	2156	2018	20371.000000	9.44851576994
merged	23000000	2139	2014	19897.000000	9.30201028518
merged	23050000	2122	1993	20168.000000	9.50424128181
merged	23100000	2105	1978	19851.000000	9.43040380048
merged	23150000	2088	1960	19647.000000	9.40948275862
merged	23200000	2071	1948	19535.000000	9.43264123612
merged	23250000	2054	1946	19391.000000	9.4406037001
merged	23300000	2037	1920	19005.000000	9.32989690722
merged	23350000	2020	1892	19263.000000	9.53613861386
merged	23400000	2003	1870	18963.000000	9.46729905142
merged	23450000	1986	1870	18725.000000	9.42849949648
merged	23500000	1969	1853	18947.000000	9.62265109192
merged	23550000	1952	1842	18564.000000	9.51024590164
merged	23600000	1935	1809	18401.000000	9.50956072351
merged	23650000	1918	1803	18041.000000	9.40615224192
merged	23700000	1901	1785	18210.000000	9.5791688585
merged	23750000	1884	1788	18186.000000	9.65286624204
merged	23800000	1867	1751	17901.000000	9.5881092662
merged	23850000	1850	1738	17256.000000	9.32756756757
merged	23900000	1833	1733	17085.000000	9.32078559738
merged	23950000	1817	1712	17040.000000	9.37809576225
merged	24000000	1801	1697	16487.000000	9.15435868962
merged	24050000	1785	1688	16613.000000	9.30700280112
merged	24100000	1769	1668	16573.000000	9.36856981345
merged	24150000	1753	1648	16312.000000	9.30519110097
merged	24200000	1737	1648	16540.000000	9.5221646517
merged	24250000	1721	1617	16250.000000	9.44218477629
merged	24300000	1705	1603	16395.000000	9.61583577713
merged	24350000	1689	1583	16174.000000	9.57608052102
merged	24400000	1673	1586	16032.000000	9.58278541542
merged	24450000	1657	1568	15641.000000	9.43934821967
merged	24500000	1641	1537	14894.000000	9.0761730652
merged	24550000	1625	1539	15083.000000	9.28184615385
merged	24600000	1610	1519	14903.000000	9.25652173913
merged	24650000	1595	1503	14654.000000	9.18746081505
merged	24700000	1580	1490	14670.000000	9.28481012658
merged	24750000	1565	1474	14423.000000	9.21597444089
merged	24800000	1550	1460	14465.000000	9.33225806452
merged	24850000	1535	1444	14347.000000	9.34657980456
merged	24900000	1520	1438	14243.000000	9.37039473684
merged	24950000	1505	1419	14019.000000	9.31495016611
merged	25000000	1490	1400	13845.000000	9.29194630872
merged	25050000	1475	1399	13815.000000	9.36610169492
merged	25100000	1460	1374	13725.000000	9.40068493151
merged	25150000	1445	1366	13257.000000	9.17439446367
merged	25200000	1430	1352	13274.000000	9.28251748252
merged	25250000	1415	1339	13247.000000	9.36183745583
merged	25300000	1400	1327	12785.000000	9.13214285714
merged	25350000	1385	1313	12839.000000	9.27003610108
merged	25400000	1370	1292	12828.000000	9.36350364964
merged	25450000	1355	1293	12499.000000	9.22435424354
merged	25500000	1340	1276	12398.000000	9.25223880597
merged	25550000	1325	1250	12337.000000	9.31094339623
merged	25600000	1310	1236	12267.000000	9.3641221374
merged	25650000	1295	1226	12049.000000	9.30424710425
merged	25700000	1280	1207	11806.000000	9.2234375
merged	25750000	1266	1202	11785.000000	9.30884676145
merged	25800000	1252	1189	11768.000000	9.39936102236
merged	25850000	1238	1168	11696.000000	9.44749596123
merged	25900000	1224	1162	11735.000000	9.58741830065
merged	25950000	1210	1142	11498.000000	9.50247933884
merged	26000000	1196	1129	11417.000000	9.54598662207
merged	26050000	1182	1114	11501.000000	9.73011844332
merged	26100000	1168	1099	11118.000000	9.51883561644
merged	26150000	1154	1094	11130.000000	9.64471403813
merged	26200000	1140	1084	10988.000000	9.63859649123
merged	26250000	1126	1058	10998.000000	9.76731793961
merged	26300000	1112	1064	10405.000000	9.35701438849
merged	26350000	1099	1042	10175.000000	9.25841674249
merged	26400000	1087	1033	9754.000000	8.97332106716
merged	26450000	1076	1015	9510.000000	8.83828996283
merged	26500000	1065	1007	9313.000000	8.74460093897
merged	26550000	1055	997	9161.000000	8.68341232227
merged	26600000	1045	980	9176.000000	8.78086124402
