sample	distance_bp	possible_bin_pairs	observed_nonzero_pixels	contact_sum	mean_contact_per_possible_pair
rep2	16000000	4519	3940	19125.000000	4.23213100243
rep2	16050000	4502	3967	19006.000000	4.22167925367
rep2	16100000	4485	3929	19165.000000	4.27313266444
rep2	16150000	4468	3915	18878.000000	4.22515666965
rep2	16200000	4451	3890	18697.000000	4.20062907212
rep2	16250000	4434	3915	18791.000000	4.23793414524
rep2	16300000	4417	3880	18834.000000	4.26398007698
rep2	16350000	4400	3889	18718.000000	4.25409090909
rep2	16400000	4383	3866	19059.000000	4.34839151266
rep2	16450000	4366	3846	18738.000000	4.29180027485
rep2	16500000	4349	3803	18587.000000	4.27385605886
rep2	16550000	4332	3784	18481.000000	4.2661588181
rep2	16600000	4315	3807	18469.000000	4.28018539977
rep2	16650000	4298	3801	18887.000000	4.39436947417
rep2	16700000	4281	3758	18516.000000	4.32515767344
rep2	16750000	4264	3726	18560.000000	4.35272045028
rep2	16800000	4247	3717	18315.000000	4.31245585119
rep2	16850000	4230	3699	18047.000000	4.26643026005
rep2	16900000	4213	3706	18074.000000	4.29005459293
rep2	16950000	4196	3675	18246.000000	4.3484270734
rep2	17000000	4179	3664	18040.000000	4.31682220627
rep2	17050000	4162	3627	18043.000000	4.33517539644
rep2	17100000	4145	3611	17681.000000	4.2656212304
rep2	17150000	4128	3628	18012.000000	4.36337209302
rep2	17200000	4111	3640	17845.000000	4.34079299441
rep2	17250000	4094	3628	17895.000000	4.37103077675
rep2	17300000	4077	3572	17348.000000	4.25508952661
rep2	17350000	4060	3563	17510.000000	4.31280788177
rep2	17400000	4043	3541	17167.000000	4.24610437794
rep2	17450000	4026	3514	17187.000000	4.26900149031
rep2	17500000	4009	3470	17068.000000	4.25742080319
rep2	17550000	3992	3487	17264.000000	4.3246492986
rep2	17600000	3975	3459	17044.000000	4.28779874214
rep2	17650000	3958	3478	17084.000000	4.31632137443
rep2	17700000	3941	3466	16998.000000	4.31311849784
rep2	17750000	3924	3429	16690.000000	4.25331294597
rep2	17800000	3907	3409	16767.000000	4.29152802662
rep2	17850000	3890	3389	16828.000000	4.32596401028
rep2	17900000	3873	3369	16724.000000	4.31809966434
rep2	17950000	3856	3368	16576.000000	4.29875518672
rep2	18000000	3839	3365	16453.000000	4.28575149779
rep2	18050000	3822	3322	16468.000000	4.30873888017
rep2	18100000	3805	3351	16307.000000	4.28567674113
rep2	18150000	3788	3307	16157.000000	4.26531151003
rep2	18200000	3771	3286	15936.000000	4.22593476531
rep2	18250000	3754	3279	16611.000000	4.42488012786
rep2	18300000	3737	3240	16118.000000	4.31308536259
rep2	18350000	3720	3250	16157.000000	4.34327956989
rep2	18400000	3703	3239	16135.000000	4.3572778828
rep2	18450000	3686	3209	16005.000000	4.34210526316
rep2	18500000	3669	3222	16077.000000	4.38184791496
rep2	18550000	3652	3210	15997.000000	4.38033953998
rep2	18600000	3635	3182	15902.000000	4.37469050894
rep2	18650000	3618	3186	15977.000000	4.41597567717
rep2	18700000	3601	3137	15792.000000	4.38544848653
rep2	18750000	3584	3155	15811.000000	4.41155133929
rep2	18800000	3567	3125	15792.000000	4.42724978974
rep2	18850000	3550	3105	15498.000000	4.36563380282
rep2	18900000	3533	3086	15522.000000	4.39343334277
rep2	18950000	3516	3039	15432.000000	4.38907849829
rep2	19000000	3499	3020	15444.000000	4.41383252358
rep2	19050000	3482	3016	15300.000000	4.3940264216
rep2	19100000	3465	3021	15207.000000	4.38874458874
rep2	19150000	3448	3000	14855.000000	4.30829466357
rep2	19200000	3431	2995	15111.000000	4.40425531915
rep2	19250000	3414	2964	14972.000000	4.38547158758
rep2	19300000	3397	2933	14848.000000	4.37091551369
rep2	19350000	3380	2914	14788.000000	4.37514792899
rep2	19400000	3363	2914	14895.000000	4.42908117752
rep2	19450000	3346	2896	14737.000000	4.40436341901
rep2	19500000	3329	2907	14711.000000	4.41904475819
rep2	19550000	3312	2862	14513.000000	4.38194444444
rep2	19600000	3295	2851	14503.000000	4.40151745068
rep2	19650000	3278	2855	14570.000000	4.44478340451
rep2	19700000	3261	2816	14725.000000	4.51548604722
rep2	19750000	3244	2791	14440.000000	4.4512946979
rep2	19800000	3227	2794	14555.000000	4.51038115897
rep2	19850000	3210	2802	14663.000000	4.56791277259
rep2	19900000	3193	2750	14351.000000	4.49451926088
rep2	19950000	3176	2733	14341.000000	4.51542821159
rep2	20000000	3159	2738	14306.000000	4.52864830643
rep2	20050000	3142	2712	14166.000000	4.50859325271
rep2	20100000	3125	2717	14082.000000	4.50624
rep2	20150000	3108	2673	14190.000000	4.56563706564
rep2	20200000	3091	2665	13851.000000	4.48107408606
rep2	20250000	3074	2664	13736.000000	4.46844502277
rep2	20300000	3057	2623	13821.000000	4.52109911678
rep2	20350000	3040	2599	13703.000000	4.50756578947
rep2	20400000	3023	2608	13752.000000	4.54912338736
rep2	20450000	3006	2598	13558.000000	4.51031270792
rep2	20500000	2989	2589	13594.000000	4.54800936768
rep2	20550000	2972	2558	13450.000000	4.52557200538
rep2	20600000	2955	2543	13210.000000	4.4703891709
rep2	20650000	2938	2538	13310.000000	4.53029271613
rep2	20700000	2921	2532	13354.000000	4.57172201301
rep2	20750000	2904	2524	13541.000000	4.66287878788
rep2	20800000	2887	2485	13225.000000	4.58087980603
rep2	20850000	2870	2486	13027.000000	4.53902439024
rep2	20900000	2853	2456	13056.000000	4.57623554154
rep2	20950000	2836	2465	13069.000000	4.60825105783
rep2	21000000	2819	2432	12924.000000	4.58460446967
rep2	21050000	2802	2434	12899.000000	4.60349750178
rep2	21100000	2785	2420	12921.000000	4.639497307
rep2	21150000	2768	2412	12784.000000	4.61849710983
rep2	21200000	2751	2384	12719.000000	4.62340966921
rep2	21250000	2734	2375	12777.000000	4.67337234821
rep2	21300000	2717	2342	12488.000000	4.5962458594
rep2	21350000	2700	2362	12391.000000	4.58925925926
rep2	21400000	2683	2321	12241.000000	4.56243011554
rep2	21450000	2666	2320	12232.000000	4.58814703676
rep2	21500000	2649	2327	12292.000000	4.6402416006
rep2	21550000	2632	2277	12086.000000	4.59194528875
rep2	21600000	2615	2271	12031.000000	4.60076481836
rep2	21650000	2598	2245	11844.000000	4.55889145497
rep2	21700000	2581	2232	11927.000000	4.6210771019
rep2	21750000	2564	2227	11853.000000	4.6228549142
rep2	21800000	2547	2228	11688.000000	4.58892815077
rep2	21850000	2530	2210	11830.000000	4.67588932806
rep2	21900000	2513	2164	11608.000000	4.61918026263
rep2	21950000	2496	2172	11569.000000	4.63501602564
rep2	22000000	2479	2133	11520.000000	4.6470350948
rep2	22050000	2462	2154	11622.000000	4.72055239643
rep2	22100000	2445	2100	11615.000000	4.75051124744
rep2	22150000	2428	2099	11200.000000	4.61285008237
rep2	22200000	2411	2125	11262.000000	4.67109083368
rep2	22250000	2394	2086	11021.000000	4.60359231412
rep2	22300000	2377	2078	11006.000000	4.6302061422
rep2	22350000	2360	2041	11028.000000	4.67288135593
rep2	22400000	2343	2022	10881.000000	4.64404609475
rep2	22450000	2326	2009	10674.000000	4.58899398108
rep2	22500000	2309	2017	10803.000000	4.6786487657
rep2	22550000	2292	1966	10625.000000	4.63568935428
rep2	22600000	2275	1979	10577.000000	4.64923076923
rep2	22650000	2258	1954	10593.000000	4.69131975199
rep2	22700000	2241	1949	10477.000000	4.67514502454
rep2	22750000	2224	1932	10406.000000	4.67895683453
rep2	22800000	2207	1895	10410.000000	4.71681014952
rep2	22850000	2190	1907	10408.000000	4.75251141553
rep2	22900000	2173	1902	10310.000000	4.74459272895
rep2	22950000	2156	1860	10211.000000	4.73608534323
rep2	23000000	2139	1852	10008.000000	4.67882187938
rep2	23050000	2122	1867	10180.000000	4.79736098021
rep2	23100000	2105	1815	9992.000000	4.74679334917
rep2	23150000	2088	1808	9904.000000	4.74329501916
rep2	23200000	2071	1783	9778.000000	4.72139063254
rep2	23250000	2054	1784	9742.000000	4.7429406037
rep2	23300000	2037	1743	9524.000000	4.67550319097
rep2	23350000	2020	1759	9724.000000	4.81386138614
rep2	23400000	2003	1710	9412.000000	4.69895157264
rep2	23450000	1986	1707	9451.000000	4.75881168177
rep2	23500000	1969	1706	9522.000000	4.83595733875
rep2	23550000	1952	1698	9418.000000	4.82479508197
rep2	23600000	1935	1672	9253.000000	4.7819121447
rep2	23650000	1918	1671	9237.000000	4.81595411887
rep2	23700000	1901	1628	9262.000000	4.87217254077
rep2	23750000	1884	1656	9167.000000	4.86571125265
rep2	23800000	1867	1613	9002.000000	4.82163899304
rep2	23850000	1850	1606	8637.000000	4.66864864865
rep2	23900000	1833	1584	8587.000000	4.68466993999
rep2	23950000	1817	1564	8606.000000	4.73637864612
rep2	24000000	1801	1550	8250.000000	4.58078845086
rep2	24050000	1785	1541	8362.000000	4.68459383754
rep2	24100000	1769	1523	8396.000000	4.74618428491
rep2	24150000	1753	1505	8235.000000	4.69766115231
rep2	24200000	1737	1508	8379.000000	4.82383419689
rep2	24250000	1721	1478	8191.000000	4.75944218478
