gene	TPM	log2_TPM_plus_1	group
Pbre1_15G535800	0.027921	0.0397293916837719	Cis-associated
Pbre1_15G536000	0.718809	0.7814092364608017	Cis-associated
Pbre1_15G536200	52.730759	5.747676312567642	Cis-associated
Pbre1_15G536400	37.530707	5.267936753141145	Cis-associated
Pbre1_15G536800	2.232874	1.6928172800846293	Cis-associated
Pbre1_15G537000	34.753891	5.160028349951551	Cis-associated
Pbre1_15G537200	4.436161	2.4425881842991934	Cis-associated
Pbre1_15G537400	0.306323	0.385511660194686	Cis-associated
Pbre1_15G537600	0.415425	0.5012353062943823	Cis-associated
Pbre1_15G537800	2.028654	1.5986767709374003	Cis-associated
Pbre1_15G538000	89.777633	6.504264965806018	Cis-associated
Pbre1_15G538400	0.0	0.0	Cis-associated
Pbre1_15G538600	0.0	0.0	Cis-associated
Pbre1_15G538800	0.060246	0.0843990400755414	Cis-associated
Pbre1_15G539000	12.253189	3.7282676395383807	Cis-associated
Pbre1_15G539200	11.287251	3.6190902756684737	Cis-associated
Pbre1_15G539400	26.540817	4.783499452630588	Cis-associated
Pbre1_15G539600	101.242336	6.675848893780988	Cis-associated
Pbre1_15G539800	0.085965	0.11897760669648888	Cis-associated
Pbre1_15G540000	15.04243	4.003820783028217	Cis-associated
Pbre1_15G540200	0.0	0.0	Cis-associated
Pbre1_15G540400	4.512193	2.4626264024232425	Cis-associated
Pbre1_15G540600	0.0	0.0	Cis-associated
Pbre1_15G540800	0.0	0.0	Cis-associated
Pbre1_15G541000	18.679486	4.298620634927575	Cis-associated
Pbre1_15G541400	0.111686	0.15274935081906685	Cis-associated
Pbre1_15G541600	0.588998	0.6681173088325003	Cis-associated
Pbre1_15G541800	0.737121	0.796698249166362	Cis-associated
Pbre1_15G542000	0.359214	0.44277261757190545	Cis-associated
Pbre1_15G542200	6.440332	2.895366998224045	Cis-associated
Pbre1_15G542400	0.0	0.0	Cis-associated
Pbre1_15G542600	0.080139	0.11121698063598191	Cis-associated
Pbre1_15G542800	19.932675	4.387684781188986	Cis-associated
Pbre1_15G543000	0.0	0.0	Cis-associated
Pbre1_15G543200	177.021433	7.475907135580686	Cis-associated
Pbre1_15G543400	0.131389	0.17809504947014598	Cis-associated
Pbre1_15G543600	7.555328	3.096823166801455	Cis-associated
