duplication_type	parent	child	ancestor	parent_mean_TPM	child_mean_TPM	ancestor_mean_TPM	parent_tau	child_tau	ancestor_tau	E_P_A	E_C_A	E_PC_A	CDROM_class	binary_TPM1_class	binary_TPM0.5_class	two_method_agreement	analysis_status
TRD	Pbre1_16G058000	Pbre1_13G053400	Prupe.1G320800.1	24.3812675	5.368300666666666	116.156613	0.588486793132154	0.4066032881456548	0.6135597955850962	0.2232130334171834	0.3427241500371741	0.2415922440841074	Conservation	Conservation	Conservation	Conservation	classified
TRD	Pbre1_09G453600	Pbre1_13G082000	Prupe.3G164800.1	0.0154536666666666	0.2646475	0.0960431666666666	0.8474448669201522	0.931072063680244	0.7911128298098039	0.3905017401312435	0.3928133423831013	0.3559575558342144	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified
TRD	Pbre1_15G408800	Pbre1_13G093800	Prupe.7G187800.1	27.362567666666667	21.0393355	13.886576166666668	0.3478449158920988	0.3796654516247105	0.1855343092414018	0.0887260836865561	0.1574960341153538	0.0966899559767657	Conservation	Conservation	Conservation	Conservation	classified
TRD	Pbre1_13G152200	Pbre1_13G096400	Prupe.1G258300.1	7.151771666666667	0.0489076666666666	16.0832115	0.8228283171525159	0.8237751209974679	0.7130083814668057	0.1628411340078887	0.655860549282195	0.1597500207093051	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified
TRD	Pbre1_16G103400	Pbre1_13G102400	Prupe.1G290900.1	14.223730666666668	3.220783	14.215411	0.3987498067110669	0.2236725591621994	0.481049440224791	0.1995473767568248	0.2389310513093255	0.2022624780248516	Conservation	Conservation	Conservation	Conservation	classified
TRD	Pbre1_13G079200	Pbre1_13G104000	Prupe.1G305600.1	11.8689835	1.1011266666666666	34.790375	0.6059549235326687	0.8815316344523273	0.5759931978790214	0.3867239986591709	0.5525819915832205	0.3484594358745327	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified
TRD	Pbre1_17G494800	Pbre1_13G111800	Prupe.3G007400.1	46.6095485	0.7647586666666667	57.950637666666665	0.0963457031081196	0.9158244095302563	0.2259596380548423	0.0711041207219627	0.576705060802586	0.0669334650548521	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified
TRD	Pbre1_11G182200	Pbre1_13G172400	Prupe.6G091300.1	25.941216666666666	0.1282898333333333	67.6943955	0.3483433280474804	0.8619436923435027	0.3550923112068872	0.1458936603752344	0.5912959208710679	0.146455270077538	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified
TRD	Pbre1_13G359000	Pbre1_13G176800	Prupe.1G037400.1	24.791291333333334	0.0520513333333333	167.34239599999998	0.8136553737916176	0.9142431021625652	0.8962147559917497	0.1769134961898431	0.7221835669583317	0.177319987193895	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified
TRD	Pbre1_07G448600	Pbre1_13G180800	Prupe.2G298600.1	25.497796333333334	0.040363	62.93646366666666	0.6120921800772023	0.8551816440872233	0.904087536238805	0.6851192173698137	0.9754860580519013	0.6849576122482103	Specialization	Specialization	Specialization	Specialization	classified
TRD	Pbre1_04G355400	Pbre1_13G188400	Prupe.6G333700.1	7.531196666666666	0.6717168333333333	21.48458816666667	0.3359118257626403	0.893938575857506	0.341048840715212	0.107569460960292	0.5999312305631372	0.1296354176483524	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified
TRD	Pbre1_13G486000	Pbre1_13G201600	Prupe.1G002900.1	3.765321	18.123861	117.06058216666666	0.9676457828990768	0.9526602161401092	0.6487829331940025	0.6705225874111561	0.8024492865532202	0.641030522348538	Specialization	Specialization	Specialization	Specialization	classified
TRD	Pbre1_16G335000	Pbre1_13G226200	Prupe.1G016800.1	18.971313833333333	0.1230033333333333	14.245324666666669	0.6400195138356076	0.9894922994205492	0.5302779439899614	0.3124790210160171	0.922765560760514	0.3108583230451859	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified
TRD	Pbre1_16G257000	Pbre1_13G252000	Prupe.1G112700.1	20.146817833333333	8.196281666666668	22.422570333333333	0.1959892029781387	0.3164428668948846	0.2768526617279965	0.1137297671154286	0.0840004500254807	0.1008570477154777	Conservation	Conservation	Conservation	Conservation	classified
TRD	Pbre1_16G282400	Pbre1_13G279200	Prupe.1G132500.1	61.6777065	1.1253848333333334	26.1647555	0.4933852688759675	0.8422553306920495	0.4705147716679212	0.21752637626172	0.4953703582390023	0.2135477620892224	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified
TRD	Pbre1_12G336000	Pbre1_13G300000	Prupe.6G306800.1	36.9629335	0.0438949999999999	69.070719	0.5032117907341215	1.0	0.3198980449811685	0.1384892291859836	1.0018886713041275	0.1386057581838158	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	Neofunctionalization(Child)	classified
TRD	Pbre1_16G307200	Pbre1_13G304200	Prupe.1G148200.1	321.96934783333336	46.196693833333335	551.7769246666667	0.2667156776153119	0.4068781433851763	0.2332590524338265	0.037531098885502	0.1180746620630106	0.0220192258535603	Conservation	Conservation	Conservation	Conservation	classified
TRD	Pbre1_17G044200	Pbre1_13G327400	Prupe.3G292400.1	101.81181983333332	3.2856393333333336	116.016203	0.2925707343145673	0.6344899459341615	0.3924693551133219	0.180026518480343	0.2497716042054273	0.1714754296368444	Conservation	Conservation	Conservation	Conservation	classified
