loop_set	analysis_set	term	n	estimate	se	ci_low	ci_high	p_value	model_r2	note	p_adj_BH
strict	all	C(trajectory)[T.Neo(C)]	1290	-3.0560223588827227	0.1844171765892276	-3.417473383128172	-2.6945713346372733	1.1247131106882725e-61	0.5393130497869291	cluster-robust SE by duplicate family	1.0347360618332107e-59
strict	all	C(trajectory)[T.Neo(P)]	1290	2.6923538114820067	0.27999366906035467	2.1435763042244846	3.2411313187395288	6.859635530617551e-22	0.5393130497869291	cluster-robust SE by duplicate family	7.012071875742385e-21
strict	all	C(trajectory)[T.Spe]	1290	-0.087705050175547	0.14336551256231198	-0.36869629142280314	0.19328619107170916	0.5406976464216735	0.5393130497869291	cluster-robust SE by duplicate family	0.6632557796105862
strict	all	capture_delta_strict	1290	-0.21590232298166395	0.23083618867047612	-0.66833293910429	0.23652829314096208	0.34963095729659255	0.5393130497869291	cluster-robust SE by duplicate family	0.44675066765675714
strict	all	capture_any_strict	1290	-0.11286394403861436	0.20845052378114307	-0.5214194632081648	0.29569157513093614	0.5882027150142828	0.5393130497869291	cluster-robust SE by duplicate family	0.6849955668520761
strict	all	delta_promoter_OCR	1290	0.4800038913679209	0.19954234128914058	0.08890808905040554	0.8710996936854363	0.016149291079235153	0.5393130497869291	cluster-robust SE by duplicate family	0.05502721404776422
strict	all	delta_ATAC	1290	0.20314388253754637	0.15241297716992788	-0.09558006349203776	0.5018678285671305	0.18258050401748216	0.5393130497869291	cluster-robust SE by duplicate family	0.3054917665459896
strict	all	delta_log_gene_length	1290	0.33900225343202867	0.08746067411227251	0.16758248210837987	0.5104220247556774	0.00010616434379538419	0.5393130497869291	cluster-robust SE by duplicate family	0.00042465737518153677
strict	all	delta_GC	1290	0.04082911849068141	0.08813020799099358	-0.13190291512169008	0.2135611521030529	0.6431624131625888	0.5393130497869291	cluster-robust SE by duplicate family	0.7396367751369771
strict	all	delta_gene_density	1290	0.11497929965641461	0.05691256621690349	0.003432719603532766	0.22652587970929644	0.043354387883828116	0.5393130497869291	cluster-robust SE by duplicate family	0.10973289620603452
strict	TRD	Intercept	780	-1.0118225269322494	0.1288383337956398	-1.2643410209998531	-0.7593040328646457	4.048185263302258e-15	0.4547452009623647	cluster-robust SE by duplicate family	2.4828869614920514e-14
strict	TRD	C(trajectory)[T.Neo(C)]	780	-3.1541741621663166	0.221192813812296	-3.5877041108774907	-2.7206442134551425	3.893454253378658e-46	0.4547452009623647	cluster-robust SE by duplicate family	7.163955826216731e-45
strict	TRD	C(trajectory)[T.Neo(P)]	780	3.2025648432707503	0.6260390036446972	1.9755509432098042	4.429578743331696	3.127459512995063e-07	0.4547452009623647	cluster-robust SE by duplicate family	1.6576567373604535e-06
strict	TRD	C(trajectory)[T.Spe]	780	-0.27687978102158445	0.20775884117147309	-0.6840796271874491	0.13032006514428018	0.18263094739162422	0.4547452009623647	cluster-robust SE by duplicate family	0.3054917665459896
strict	TRD	capture_delta_strict	780	-0.3088943007581636	0.27362552629016906	-0.8451904775377127	0.2274018760213855	0.2589424197479693	0.4547452009623647	cluster-robust SE by duplicate family	0.35445838564639437
